Size Time
10000 0.00
10000 0.00
10000 0.00
10000 0.00
10000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
20000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
40000 0.00
80000 0.01
80000 0.01
80000 0.01
80000 0.01
80000 0.01
160000 0.03
160000 0.03
160000 0.02
160000 0.03
160000 0.03
320000 0.06
320000 0.07
320000 0.07
320000 0.06
320000 0.07
640000 0.14
640000 0.14
640000 0.14
640000 0.14
640000 0.14
1280000 0.28
1280000 0.29
1280000 0.29
1280000 0.29
1280000 0.30
2560000 0.60
2560000 0.60
2560000 0.58
2560000 0.60
2560000 0.61
